datetime,tempmax,tempmin,temp,cloudcover
2020-04-01,71.9,48.9,60.6,19.5
2020-04-02,68.7,59.6,64.5,68.7
2020-04-03,66.7,41.2,54.2,95.3
2020-04-04,48.3,40.7,44.3,96.9
2020-04-05,65.6,47.7,55.3,89.3
2020-04-06,70.9,60.6,65.6,63.4
2020-04-07,87.6,65.7,75.9,34.0
2020-04-08,95.7,72.0,81.4,20.6
2020-04-09,76.2,64.8,70.8,30.5
2020-04-10,72.8,57.0,64.9,12.3
2020-04-11,68.6,57.5,64.0,62.8
2020-04-12,81.4,48.0,69.9,43.2
2020-04-13,55.4,39.7,47.8,28.5
2020-04-14,54.6,43.1,49.0,54.8
2020-04-15,64.8,39.8,51.7,5.6
2020-04-16,73.8,49.5,61.4,3.3
2020-04-17,64.4,50.6,58.3,61.5
2020-04-18,67.7,43.6,56.4,52.4
2020-04-19,84.2,60.7,69.5,66.5
2020-04-20,75.9,54.7,64.5,39.6
2020-04-21,84.4,61.5,73.2,33.9
2020-04-22,89.5,67.1,74.8,55.0
2020-04-23,83.4,61.0,71.8,7.0
2020-04-24,91.6,63.0,75.4,10.7
2020-04-25,78.2,57.8,68.0,11.7
2020-04-26,83.3,53.2,68.9,16.6
2020-04-27,84.7,63.1,74.4,20.1
2020-04-28,88.2,64.6,77.9,46.6
2020-04-29,80.5,63.5,71.6,20.7
2020-04-30,81.5,53.1,68.6,7.1
2020-05-01,86.9,62.7,74.8,17.9
2020-05-02,87.8,66.5,76.5,18.2
2020-05-03,90.1,70.0,79.8,18.6
2020-05-04,91.3,70.8,81.2,23.9
2020-05-05,82.0,65.7,73.5,42.7
2020-05-06,83.1,55.0,70.3,6.8
2020-05-07,84.2,58.3,72.8,30.4
2020-05-08,73.5,61.1,68.5,57.5
2020-05-09,72.2,53.3,63.1,24.4
2020-05-10,76.0,55.1,65.8,10.6
2020-05-11,78.9,58.5,69.3,19.1
2020-05-12,76.4,67.9,71.1,60.9
2020-05-13,84.4,67.2,74.4,60.9
2020-05-14,90.2,70.7,79.9,44.2
2020-05-15,87.0,68.8,76.8,63.8
2020-05-16,68.9,64.1,65.3,76.4
2020-05-17,84.7,65.0,73.9,29.0
2020-05-18,89.3,63.1,77.0,7.9
2020-05-19,93.2,70.8,81.3,7.5
2020-05-20,79.0,72.1,75.2,65.4
2020-05-21,86.3,70.0,77.9,63.1
2020-05-22,91.7,74.4,82.6,37.1
2020-05-23,89.6,67.0,78.9,41.8
2020-05-24,88.1,68.1,76.7,48.1
2020-05-25,71.5,66.3,67.7,59.9
2020-05-26,74.0,64.5,68.6,44.4
2020-05-27,85.1,59.0,72.8,18.0
2020-05-28,85.3,65.9,75.9,26.9
2020-05-29,88.2,66.2,77.7,9.2
2020-05-30,86.3,65.7,77.0,9.4
2020-05-31,85.8,66.5,77.3,20.2
2020-06-01,86.0,71.0,78.2,24.0
2020-06-02,90.1,71.6,81.2,33.1
2020-06-03,92.0,74.1,83.4,8.0
2020-06-04,94.6,74.7,84.9,13.0
2020-06-05,95.0,77.9,86.6,18.5
2020-06-06,95.9,75.9,86.6,9.1
2020-06-07,93.3,77.0,85.7,14.8
2020-06-08,96.0,77.4,87.2,12.8
2020-06-09,98.0,78.6,88.4,11.6
2020-06-10,89.3,66.3,77.8,3.2
2020-06-11,92.4,63.8,79.3,3.9
2020-06-12,92.0,65.9,79.9,15.0
2020-06-13,92.4,69.3,81.8,7.0
2020-06-14,92.4,70.0,82.0,4.4
2020-06-15,94.3,72.5,84.2,14.9
2020-06-16,93.1,75.3,84.9,17.1
2020-06-17,93.8,75.0,84.7,8.5
2020-06-18,93.7,73.7,84.1,15.2
2020-06-19,94.3,69.2,83.6,38.3
2020-06-20,88.5,68.3,77.5,38.7
2020-06-21,88.0,69.7,79.4,29.8
2020-06-22,90.8,68.3,80.9,32.6
2020-06-23,81.5,70.2,76.8,56.8
2020-06-24,91.1,70.9,81.0,24.4
2020-06-25,88.6,74.2,81.7,43.4
2020-06-26,90.1,74.7,82.4,39.1
2020-06-27,92.4,74.8,83.8,41.3
2020-06-28,90.1,78.6,83.5,44.4
2020-06-29,93.4,80.0,85.7,48.3
2020-06-30,92.0,81.0,85.8,45.3
2020-07-01,94.0,79.5,86.5,38.9
2020-07-02,94.5,77.2,84.0,37.9
2020-07-03,97.9,75.5,86.4,12.4
2020-07-04,95.6,74.1,85.9,12.8
2020-07-05,94.0,79.7,84.8,22.1
2020-07-06,88.3,74.0,80.9,35.2
2020-07-07,89.2,73.8,80.0,35.8
2020-07-08,93.7,75.8,84.6,29.9
2020-07-09,94.3,79.0,87.3,13.1
2020-07-10,94.1,79.2,86.4,17.5
2020-07-11,98.2,80.2,88.4,6.1
2020-07-12,99.5,79.9,89.4,17.8
2020-07-13,101.1,82.8,91.8,11.5
2020-07-14,99.5,79.2,89.7,12.0
2020-07-15,96.6,80.2,87.6,20.2
2020-07-16,97.3,79.9,87.9,15.8
2020-07-17,96.7,79.5,88.3,9.2
2020-07-18,92.8,78.3,86.1,16.0
2020-07-19,94.4,78.6,87.0,10.3
2020-07-20,95.5,78.7,87.3,13.0
2020-07-21,91.2,76.3,83.3,34.8
2020-07-22,93.4,77.3,85.3,32.6
2020-07-23,95.1,78.2,87.0,20.7
2020-07-24,96.4,80.1,87.9,21.7
2020-07-25,90.8,78.9,84.6,46.3
2020-07-26,91.7,78.3,84.4,52.3
